"GALAXY","STAR","prob_gal"
3,497,0.006
500,0,1
500,0,1
22,478,0.044
208,292,0.416
263,237,0.526
49,451,0.098
23,477,0.046
23,477,0.046
500,0,1
30,470,0.06
27,473,0.054
500,0,1
499,1,0.998
500,0,1
0,500,0
0,500,0
49,451,0.098
9,491,0.018
4,496,0.008
0,500,0
500,0,1
500,0,1
22,478,0.044
500,0,1
500,0,1
500,0,1
83,417,0.166
500,0,1
500,0,1
4,496,0.008
48,452,0.096
500,0,1
16,484,0.032
49,451,0.098
499,1,0.998
37,463,0.074
500,0,1
500,0,1
85,415,0.17
4,496,0.008
47,453,0.094
13,487,0.026
494,6,0.988
498,2,0.996
4,496,0.008
118,382,0.236
500,0,1
500,0,1
7,493,0.014
196,304,0.392
500,0,1
500,0,1
35,465,0.07
0,500,0
500,0,1
500,0,1
25,475,0.05
3,497,0.006
5,495,0.01
19,481,0.038
352,148,0.704
437,63,0.874
0,500,0
299,201,0.598
0,500,0
0,500,0
500,0,1
64,436,0.128
499,1,0.998
500,0,1
0,500,0
487,13,0.974
8,492,0.016
0,500,0
489,11,0.978
0,500,0
4,496,0.008
489,11,0.978
499,1,0.998
99,401,0.198
11,489,0.022
206,294,0.412
0,500,0
10,490,0.02
499,1,0.998
12,488,0.024
9,491,0.018
500,0,1
500,0,1
16,484,0.032
13,487,0.026
500,0,1
2,498,0.004
6,494,0.012
6,494,0.012
499,1,0.998
34,466,0.068
5,495,0.01
500,0,1
70,430,0.14
9,491,0.018
28,472,0.056
27,473,0.054
4,496,0.008
0,500,0
19,481,0.038
0,500,0
68,432,0.136
497,3,0.994
497,3,0.994
36,464,0.072
382,118,0.764
500,0,1
496,4,0.992
483,17,0.966
496,4,0.992
40,460,0.08
10,490,0.02
16,484,0.032
500,0,1
479,21,0.958
482,18,0.964
2,498,0.004
84,416,0.168
500,0,1
498,2,0.996
490,10,0.98
450,50,0.9
0,500,0
274,226,0.548
23,477,0.046
500,0,1
0,500,0
144,356,0.288
499,1,0.998
259,241,0.518
5,495,0.01
265,235,0.53
489,11,0.978
500,0,1
291,209,0.582
500,0,1
192,308,0.384
0,500,0
111,389,0.222
112,388,0.224
498,2,0.996
500,0,1
0,500,0
39,461,0.078
47,453,0.094
64,436,0.128
497,3,0.994
28,472,0.056
10,490,0.02
500,0,1
21,479,0.042
0,500,0
0,500,0
3,497,0.006
33,467,0.066
479,21,0.958
2,498,0.004
17,483,0.034
499,1,0.998
385,115,0.77
65,435,0.13
497,3,0.994
17,483,0.034
17,483,0.034
181,319,0.362
500,0,1
472,28,0.944
4,496,0.008
500,0,1
3,497,0.006
14,486,0.028
498,2,0.996
498,2,0.996
500,0,1
237,263,0.474
500,0,1
500,0,1
500,0,1
20,480,0.04
500,0,1
493,7,0.986
18,482,0.036
500,0,1
500,0,1
0,500,0
500,0,1
0,500,0
13,487,0.026
13,487,0.026
1,499,0.002
101,399,0.202
11,489,0.022
500,0,1
500,0,1
10,490,0.02
0,500,0
37,463,0.074
36,464,0.072
0,500,0
12,488,0.024
4,496,0.008
500,0,1
500,0,1
57,443,0.114
500,0,1
0,500,0
418,82,0.836
0,500,0
428,72,0.856
0,500,0
5,495,0.01
0,500,0
500,0,1
500,0,1
0,500,0
346,154,0.692
500,0,1
15,485,0.03
77,423,0.154
500,0,1
23,477,0.046
133,367,0.266
498,2,0.996
497,3,0.994
500,0,1
406,94,0.812
193,307,0.386
1,499,0.002
500,0,1
500,0,1
500,0,1
494,6,0.988
22,478,0.044
12,488,0.024
500,0,1
83,417,0.166
59,441,0.118
500,0,1
5,495,0.01
1,499,0.002
71,429,0.142
4,496,0.008
254,246,0.508
6,494,0.012
3,497,0.006
500,0,1
4,496,0.008
500,0,1
500,0,1
500,0,1
500,0,1
14,486,0.028
86,414,0.172
490,10,0.98
499,1,0.998
380,120,0.76
381,119,0.762
380,120,0.76
0,500,0
6,494,0.012
49,451,0.098
500,0,1
4,496,0.008
411,89,0.822
15,485,0.03
65,435,0.13
167,333,0.334
500,0,1
500,0,1
499,1,0.998
453,47,0.906
500,0,1
10,490,0.02
500,0,1
500,0,1
18,482,0.036
343,157,0.686
500,0,1
415,85,0.83
0,500,0
134,366,0.268
13,487,0.026
493,7,0.986
500,0,1
85,415,0.17
490,10,0.98
469,31,0.938
158,342,0.316
330,170,0.66
3,497,0.006
0,500,0
0,500,0
500,0,1
7,493,0.014
497,3,0.994
4,496,0.008
197,303,0.394
498,2,0.996
331,169,0.662
21,479,0.042
2,498,0.004
45,455,0.09
477,23,0.954
0,500,0
1,499,0.002
26,474,0.052
500,0,1
22,478,0.044
0,500,0
0,500,0
5,495,0.01
0,500,0
500,0,1
5,495,0.01
0,500,0
0,500,0
500,0,1
84,416,0.168
0,500,0
8,492,0.016
0,500,0
0,500,0
421,79,0.842
498,2,0.996
498,2,0.996
500,0,1
4,496,0.008
469,31,0.938
500,0,1
3,497,0.006
0,500,0
6,494,0.012
499,1,0.998
500,0,1
500,0,1
1,499,0.002
0,500,0
15,485,0.03
469,31,0.938
496,4,0.992
493,7,0.986
39,461,0.078
500,0,1
498,2,0.996
478,22,0.956
12,488,0.024
500,0,1
28,472,0.056
1,499,0.002
3,497,0.006
500,0,1
411,89,0.822
0,500,0
499,1,0.998
27,473,0.054
1,499,0.002
495,5,0.99
20,480,0.04
0,500,0
0,500,0
500,0,1
20,480,0.04
500,0,1
500,0,1
399,101,0.798
0,500,0
3,497,0.006
25,475,0.05
0,500,0
500,0,1
499,1,0.998
500,0,1
309,191,0.618
500,0,1
107,393,0.214
0,500,0
29,471,0.058
6,494,0.012
498,2,0.996
5,495,0.01
29,471,0.058
499,1,0.998
16,484,0.032
500,0,1
500,0,1
499,1,0.998
500,0,1
23,477,0.046
1,499,0.002
500,0,1
2,498,0.004
500,0,1
500,0,1
500,0,1
45,455,0.09
23,477,0.046
500,0,1
428,72,0.856
20,480,0.04
20,480,0.04
500,0,1
33,467,0.066
500,0,1
7,493,0.014
441,59,0.882
89,411,0.178
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
43,457,0.086
500,0,1
500,0,1
480,20,0.96
114,386,0.228
494,6,0.988
13,487,0.026
13,487,0.026
494,6,0.988
500,0,1
0,500,0
478,22,0.956
0,500,0
28,472,0.056
496,4,0.992
497,3,0.994
497,3,0.994
3,497,0.006
388,112,0.776
250,250,0.5
0,500,0
1,499,0.002
20,480,0.04
500,0,1
500,0,1
500,0,1
8,492,0.016
498,2,0.996
500,0,1
500,0,1
439,61,0.878
13,487,0.026
491,9,0.982
1,499,0.002
10,490,0.02
185,315,0.37
28,472,0.056
12,488,0.024
2,498,0.004
403,97,0.806
17,483,0.034
44,456,0.088
500,0,1
6,494,0.012
314,186,0.628
45,455,0.09
1,499,0.002
1,499,0.002
23,477,0.046
498,2,0.996
0,500,0
1,499,0.002
188,312,0.376
15,485,0.03
0,500,0
44,456,0.088
18,482,0.036
30,470,0.06
477,23,0.954
9,491,0.018
489,11,0.978
499,1,0.998
0,500,0
12,488,0.024
159,341,0.318
0,500,0
110,390,0.22
500,0,1
500,0,1
6,494,0.012
1,499,0.002
0,500,0
4,496,0.008
0,500,0
163,337,0.326
498,2,0.996
500,0,1
117,383,0.234
0,500,0
3,497,0.006
0,500,0
4,496,0.008
0,500,0
0,500,0
2,498,0.004
0,500,0
20,480,0.04
499,1,0.998
500,0,1
1,499,0.002
1,499,0.002
15,485,0.03
9,491,0.018
60,440,0.12
0,500,0
1,499,0.002
296,204,0.592
3,497,0.006
12,488,0.024
0,500,0
500,0,1
485,15,0.97
481,19,0.962
15,485,0.03
437,63,0.874
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
498,2,0.996
497,3,0.994
500,0,1
500,0,1
7,493,0.014
23,477,0.046
460,40,0.92
476,24,0.952
493,7,0.986
0,500,0
2,498,0.004
500,0,1
1,499,0.002
19,481,0.038
462,38,0.924
10,490,0.02
500,0,1
499,1,0.998
487,13,0.974
5,495,0.01
500,0,1
10,490,0.02
500,0,1
498,2,0.996
0,500,0
0,500,0
500,0,1
462,38,0.924
472,28,0.944
7,493,0.014
1,499,0.002
85,415,0.17
3,497,0.006
500,0,1
15,485,0.03
10,490,0.02
59,441,0.118
0,500,0
1,499,0.002
500,0,1
21,479,0.042
468,32,0.936
186,314,0.372
215,285,0.43
500,0,1
500,0,1
470,30,0.94
227,273,0.454
15,485,0.03
500,0,1
500,0,1
196,304,0.392
2,498,0.004
500,0,1
1,499,0.002
15,485,0.03
38,462,0.076
500,0,1
490,10,0.98
499,1,0.998
500,0,1
81,419,0.162
500,0,1
500,0,1
499,1,0.998
7,493,0.014
154,346,0.308
0,500,0
495,5,0.99
500,0,1
176,324,0.352
28,472,0.056
12,488,0.024
11,489,0.022
8,492,0.016
500,0,1
500,0,1
500,0,1
500,0,1
163,337,0.326
17,483,0.034
8,492,0.016
21,479,0.042
199,301,0.398
469,31,0.938
95,405,0.19
27,473,0.054
37,463,0.074
0,500,0
1,499,0.002
133,367,0.266
499,1,0.998
0,500,0
30,470,0.06
0,500,0
1,499,0.002
0,500,0
500,0,1
477,23,0.954
500,0,1
471,29,0.942
460,40,0.92
0,500,0
494,6,0.988
74,426,0.148
0,500,0
1,499,0.002
22,478,0.044
310,190,0.62
12,488,0.024
1,499,0.002
500,0,1
494,6,0.988
500,0,1
499,1,0.998
35,465,0.07
0,500,0
341,159,0.682
0,500,0
0,500,0
500,0,1
489,11,0.978
1,499,0.002
0,500,0
10,490,0.02
6,494,0.012
499,1,0.998
463,37,0.926
5,495,0.01
5,495,0.01
376,124,0.752
15,485,0.03
11,489,0.022
36,464,0.072
500,0,1
465,35,0.93
9,491,0.018
306,194,0.612
312,188,0.624
30,470,0.06
500,0,1
46,454,0.092
3,497,0.006
245,255,0.49
500,0,1
199,301,0.398
17,483,0.034
6,494,0.012
5,495,0.01
498,2,0.996
0,500,0
15,485,0.03
209,291,0.418
500,0,1
500,0,1
3,497,0.006
261,239,0.522
16,484,0.032
48,452,0.096
500,0,1
10,490,0.02
469,31,0.938
3,497,0.006
392,108,0.784
1,499,0.002
42,458,0.084
134,366,0.268
500,0,1
0,500,0
54,446,0.108
7,493,0.014
0,500,0
15,485,0.03
500,0,1
494,6,0.988
500,0,1
211,289,0.422
0,500,0
5,495,0.01
1,499,0.002
494,6,0.988
426,74,0.852
481,19,0.962
270,230,0.54
442,58,0.884
14,486,0.028
500,0,1
21,479,0.042
500,0,1
497,3,0.994
49,451,0.098
64,436,0.128
40,460,0.08
459,41,0.918
0,500,0
500,0,1
371,129,0.742
6,494,0.012
1,499,0.002
37,463,0.074
2,498,0.004
500,0,1
14,486,0.028
227,273,0.454
0,500,0
14,486,0.028
0,500,0
500,0,1
499,1,0.998
500,0,1
500,0,1
46,454,0.092
2,498,0.004
471,29,0.942
49,451,0.098
42,458,0.084
51,449,0.102
337,163,0.674
76,424,0.152
499,1,0.998
2,498,0.004
6,494,0.012
177,323,0.354
499,1,0.998
497,3,0.994
37,463,0.074
453,47,0.906
16,484,0.032
275,225,0.55
273,227,0.546
15,485,0.03
74,426,0.148
498,2,0.996
444,56,0.888
2,498,0.004
0,500,0
130,370,0.26
241,259,0.482
500,0,1
500,0,1
500,0,1
498,2,0.996
500,0,1
500,0,1
96,404,0.192
495,5,0.99
200,300,0.4
139,361,0.278
1,499,0.002
149,351,0.298
500,0,1
0,500,0
218,282,0.436
13,487,0.026
310,190,0.62
52,448,0.104
498,2,0.996
500,0,1
379,121,0.758
382,118,0.764
14,486,0.028
92,408,0.184
500,0,1
268,232,0.536
39,461,0.078
0,500,0
500,0,1
319,181,0.638
500,0,1
288,212,0.576
6,494,0.012
23,477,0.046
15,485,0.03
28,472,0.056
159,341,0.318
17,483,0.034
3,497,0.006
8,492,0.016
495,5,0.99
255,245,0.51
500,0,1
500,0,1
3,497,0.006
0,500,0
381,119,0.762
10,490,0.02
160,340,0.32
281,219,0.562
158,342,0.316
162,338,0.324
290,210,0.58
199,301,0.398
102,398,0.204
114,386,0.228
54,446,0.108
8,492,0.016
8,492,0.016
0,500,0
1,499,0.002
16,484,0.032
1,499,0.002
269,231,0.538
494,6,0.988
70,430,0.14
3,497,0.006
44,456,0.088
41,459,0.082
227,273,0.454
2,498,0.004
73,427,0.146
15,485,0.03
463,37,0.926
151,349,0.302
11,489,0.022
9,491,0.018
5,495,0.01
4,496,0.008
185,315,0.37
2,498,0.004
337,163,0.674
265,235,0.53
41,459,0.082
0,500,0
28,472,0.056
28,472,0.056
9,491,0.018
1,499,0.002
316,184,0.632
2,498,0.004
11,489,0.022
22,478,0.044
16,484,0.032
4,496,0.008
224,276,0.448
74,426,0.148
15,485,0.03
1,499,0.002
499,1,0.998
33,467,0.066
262,238,0.524
0,500,0
3,497,0.006
8,492,0.016
0,500,0
106,394,0.212
25,475,0.05
258,242,0.516
91,409,0.182
3,497,0.006
476,24,0.952
368,132,0.736
217,283,0.434
76,424,0.152
2,498,0.004
4,496,0.008
2,498,0.004
5,495,0.01
7,493,0.014
494,6,0.988
12,488,0.024
29,471,0.058
0,500,0
7,493,0.014
2,498,0.004
8,492,0.016
6,494,0.012
19,481,0.038
40,460,0.08
0,500,0
1,499,0.002
13,487,0.026
36,464,0.072
2,498,0.004
365,135,0.73
62,438,0.124
7,493,0.014
500,0,1
1,499,0.002
488,12,0.976
140,360,0.28
197,303,0.394
5,495,0.01
19,481,0.038
3,497,0.006
499,1,0.998
500,0,1
4,496,0.008
500,0,1
1,499,0.002
7,493,0.014
28,472,0.056
303,197,0.606
89,411,0.178
3,497,0.006
6,494,0.012
2,498,0.004
14,486,0.028
4,496,0.008
1,499,0.002
24,476,0.048
29,471,0.058
500,0,1
499,1,0.998
202,298,0.404
62,438,0.124
107,393,0.214
320,180,0.64
4,496,0.008
15,485,0.03
9,491,0.018
32,468,0.064
1,499,0.002
1,499,0.002
4,496,0.008
4,496,0.008
327,173,0.654
53,447,0.106
284,216,0.568
229,271,0.458
246,254,0.492
97,403,0.194
212,288,0.424
155,345,0.31
302,198,0.604
155,345,0.31
168,332,0.336
150,350,0.3
414,86,0.828
16,484,0.032
248,252,0.496
179,321,0.358
83,417,0.166
8,492,0.016
311,189,0.622
15,485,0.03
15,485,0.03
4,496,0.008
2,498,0.004
52,448,0.104
323,177,0.646
131,369,0.262
162,338,0.324
99,401,0.198
6,494,0.012
2,498,0.004
159,341,0.318
367,133,0.734
87,413,0.174
55,445,0.11
13,487,0.026
11,489,0.022
166,334,0.332
243,257,0.486
300,200,0.6
19,481,0.038
13,487,0.026
13,487,0.026
19,481,0.038
1,499,0.002
11,489,0.022
32,468,0.064
9,491,0.018
4,496,0.008
26,474,0.052
1,499,0.002
56,444,0.112
20,480,0.04
70,430,0.14
191,309,0.382
200,300,0.4
170,330,0.34
318,182,0.636
287,213,0.574
104,396,0.208
2,498,0.004
35,465,0.07
195,305,0.39
30,470,0.06
2,498,0.004
26,474,0.052
6,494,0.012
7,493,0.014
1,499,0.002
37,463,0.074
64,436,0.128
6,494,0.012
7,493,0.014
15,485,0.03
9,491,0.018
213,287,0.426
179,321,0.358
122,378,0.244
182,318,0.364
71,429,0.142
487,13,0.974
16,484,0.032
141,359,0.282
96,404,0.192
500,0,1
38,462,0.076
2,498,0.004
42,458,0.084
4,496,0.008
6,494,0.012
299,201,0.598
3,497,0.006
20,480,0.04
329,171,0.658
103,397,0.206
14,486,0.028
17,483,0.034
275,225,0.55
163,337,0.326
251,249,0.502
325,175,0.65
377,123,0.754
192,308,0.384
121,379,0.242
25,475,0.05
199,301,0.398
168,332,0.336
286,214,0.572
369,131,0.738
248,252,0.496
70,430,0.14
6,494,0.012
145,355,0.29
213,287,0.426
213,287,0.426
196,304,0.392
4,496,0.008
8,492,0.016
6,494,0.012
2,498,0.004
3,497,0.006
111,389,0.222
0,500,0
321,179,0.642
253,247,0.506
200,300,0.4
153,347,0.306
60,440,0.12
28,472,0.056
22,478,0.044
350,150,0.7
323,177,0.646
409,91,0.818
329,171,0.658
227,273,0.454
264,236,0.528
134,366,0.268
407,93,0.814
4,496,0.008
125,375,0.25
9,491,0.018
21,479,0.042
207,293,0.414
152,348,0.304
20,480,0.04
156,344,0.312
3,497,0.006
18,482,0.036
419,81,0.838
47,453,0.094
62,438,0.124
198,302,0.396
1,499,0.002
283,217,0.566
14,486,0.028
0,500,0
119,381,0.238
45,455,0.09
500,0,1
249,251,0.498
181,319,0.362
113,387,0.226
62,438,0.124
188,312,0.376
200,300,0.4
182,318,0.364
57,443,0.114
297,203,0.594
155,345,0.31
8,492,0.016
1,499,0.002
32,468,0.064
37,463,0.074
262,238,0.524
4,496,0.008
8,492,0.016
382,118,0.764
6,494,0.012
19,481,0.038
4,496,0.008
1,499,0.002
5,495,0.01
1,499,0.002
53,447,0.106
44,456,0.088
185,315,0.37
59,441,0.118
84,416,0.168
1,499,0.002
16,484,0.032
61,439,0.122
9,491,0.018
7,493,0.014
3,497,0.006
0,500,0
499,1,0.998
292,208,0.584
70,430,0.14
4,496,0.008
20,480,0.04
3,497,0.006
17,483,0.034
309,191,0.618
191,309,0.382
24,476,0.048
302,198,0.604
12,488,0.024
29,471,0.058
496,4,0.992
215,285,0.43
327,173,0.654
500,0,1
13,487,0.026
180,320,0.36
7,493,0.014
9,491,0.018
22,478,0.044
33,467,0.066
31,469,0.062
29,471,0.058
6,494,0.012
91,409,0.182
35,465,0.07
6,494,0.012
3,497,0.006
40,460,0.08
6,494,0.012
12,488,0.024
6,494,0.012
74,426,0.148
15,485,0.03
3,497,0.006
8,492,0.016
5,495,0.01
18,482,0.036
64,436,0.128
6,494,0.012
13,487,0.026
53,447,0.106
1,499,0.002
10,490,0.02
82,418,0.164
12,488,0.024
69,431,0.138
9,491,0.018
27,473,0.054
24,476,0.048
10,490,0.02
346,154,0.692
1,499,0.002
33,467,0.066
224,276,0.448
4,496,0.008
8,492,0.016
4,496,0.008
15,485,0.03
57,443,0.114
18,482,0.036
49,451,0.098
4,496,0.008
439,61,0.878
500,0,1
3,497,0.006
210,290,0.42
48,452,0.096
165,335,0.33
199,301,0.398
6,494,0.012
6,494,0.012
180,320,0.36
0,500,0
104,396,0.208
17,483,0.034
28,472,0.056
202,298,0.404
203,297,0.406
268,232,0.536
193,307,0.386
156,344,0.312
1,499,0.002
30,470,0.06
117,383,0.234
321,179,0.642
20,480,0.04
1,499,0.002
488,12,0.976
35,465,0.07
0,500,0
1,499,0.002
136,364,0.272
19,481,0.038
93,407,0.186
225,275,0.45
178,322,0.356
218,282,0.436
221,279,0.442
27,473,0.054
24,476,0.048
134,366,0.268
230,270,0.46
2,498,0.004
53,447,0.106
217,283,0.434
223,277,0.446
27,473,0.054
499,1,0.998
35,465,0.07
193,307,0.386
229,271,0.458
53,447,0.106
309,191,0.618
280,220,0.56
13,487,0.026
500,0,1
188,312,0.376
6,494,0.012
9,491,0.018
343,157,0.686
19,481,0.038
6,494,0.012
56,444,0.112
31,469,0.062
8,492,0.016
1,499,0.002
457,43,0.914
1,499,0.002
488,12,0.976
500,0,1
39,461,0.078
27,473,0.054
85,415,0.17
500,0,1
199,301,0.398
275,225,0.55
171,329,0.342
14,486,0.028
1,499,0.002
251,249,0.502
261,239,0.522
244,256,0.488
317,183,0.634
500,0,1
34,466,0.068
500,0,1
497,3,0.994
27,473,0.054
236,264,0.472
0,500,0
0,500,0
19,481,0.038
14,486,0.028
